Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
1465	SS_220			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1466	SS_221			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1467	SS_222			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1468	SS_223			B1	5628		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1469	SS_224			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1471	SS_226			A	206	ST206 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1472	SS_227			A			Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1474	SS_229			A	10	ST10 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1475	SS_230			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1476	SS_231			B1	155	ST155 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1477	SS_232			B1	666		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1478	SS_233			B2	95	ST95 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1548	SS_303			ST117	117	ST117 CC	Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1549	SS_304			ST117	657		Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1550	SS_305			B2			Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1551	SS_306			D			Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1552	SS_307			B1	453	ST86 Cplx	Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1554	SS_317			A	3006		Broiler chicken	Faecal	Asymptomatic carriage		This study
1555	SS_320			A	3006		Broiler chicken	Faecal	Asymptomatic carriage		This study
1556	SS_324			B2	352		Broiler chicken	Faecal	Asymptomatic carriage		This study
1557	SS_328			A	48	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1558	SS_330			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1559	SS_331			B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
1560	SS_332			E	57	ST350 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1561	SS_333			B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
1562	SS_334			B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
1563	SS_335			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1564	SS_338			E	57	ST350 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1565	SS_339			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1566	SS_340			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1567	SS_343			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1568	SS_344			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1569	SS_345			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1570	SS_346			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1571	SS_347			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1572	SS_349			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1573	SS_350			A	206	ST206 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1574	SS_355			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1575	SS_356			B1	1049		Broiler chicken	Faecal	Asymptomatic carriage		This study
1576	SS_358			D	69	ST69 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1577	SS_360			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1578	SS_361			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1580	SS_364			E	2184		Broiler chicken	Faecal	Asymptomatic carriage		This study
1581	SS_367			E			Broiler chicken	Faecal	Asymptomatic carriage		This study
1582	SS_369			D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1583	SS_370			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1584	SS_373			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1585	SS_374			D	69	ST69 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1586	SS_375			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1587	SS_377			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1588	SS_378			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1589	SS_379			A	10	ST10 Cplx	Broiler chicken	Liver	Infection 		This study
1590	SS_380			B1	616	ST155 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1591	SS_382			B1			Broiler chicken	Lung	Infection 		This study
1592	SS_383			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1593	SS_384			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1594	SS_385			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1595	SS_386			A	10	ST10 Cplx	Broiler chicken	Liver	Infection 		This study
1596	SS_388			A	10	ST10 Cplx	Broiler chicken	Liver	Infection 		This study
1597	SS_390			D	349	ST349 Cplx	Broiler chicken	Lung	Infection 		This study
1598	SS_391			D	349	ST349 Cplx	Broiler chicken	Lung	Infection 		This study
1599	SS_392			A			Broiler chicken	Kidney	Infection 		This study
1600	SS_393			A			Broiler chicken	Kidney	Infection 		This study
1602	SS_395			A			Broiler chicken	Spleen	Infection 		This study
1603	SS_396			A	10	ST10 Cplx	Broiler chicken	Spleen	Infection 		This study
1604	SS_397			A	93	ST168 Cplx	Broiler chicken	Liver	Infection 		This study
1605	SS_399			A	93	ST168 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1606	SS_401			A	93	ST168 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1607	SS_402			A	48	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1608	SS_404			B2	352		Broiler chicken	Pericarditis	Infection 		This study
1609	SS_406			ST117	117	ST117 CC	Broiler chicken	Pericarditis	Infection 		This study
1610	SS_407			A	93	ST168 Cplx	Broiler chicken	Liver	Infection 		This study
1611	SS_408			ST117	117	ST117 CC	Broiler chicken	Yolk sac	Infection 		This study
1612	SS_409			ST117	117	ST117 CC	Broiler chicken		Infection 		This study
1613	SS_410			ST117	117	ST117 CC	Broiler chicken		Infection 		This study
1614	SS_411			B2	95	ST95 Cplx	Broiler chicken		Infection 		This study
1623	APEC_O1			B2	95	ST95 Cplx			Infection 		GCF_000014845.1
1624	APEC_O78			B1	23	ST23 Cplx			Infection 		GCF_000332755.1
2349	Ec_O08			B1	453	ST86 Cplx	Broiler chicken				This study
3667	6265	UK	2015-06-26	B2	95	ST95 Cplx	Broiler chicken	spleen - peritonitis	Infection 		This study
3668	6344	UK	2015-08-05	ST117	117	ST117 CC	Broiler chicken	Liver - perihepatitis/peritonitis	Infection 		This study
3669	7950	UK	2016-07-05	ST117	117	ST117 CC	Broiler chicken	spleen - peritonitis	Infection 		This study
3670	8805	Finland	2016-11-09	ST117	117	ST117 CC	Broiler chicken	Bone Marrow - systemic	Infection 		This study
3673	8808	Finland	2016-11-09	ST117	117	ST117 CC	Broiler chicken	Bone Marrow - systemic	Infection 		This study
3729	AV01		1/20/14	ST117	117	ST117 CC	Broiler chicken	Faecal	Asymptomatic carriage		This study
3730	AV02		1/20/14	D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3731	AV03		1/17/14	B2	135		Broiler chicken	Faecal	Asymptomatic carriage		This study
3732	AV04		1/14/14	E			Broiler chicken	Faecal	Asymptomatic carriage		This study
3733	AV05		1/20/14	ST117	117	ST117 CC	Broiler chicken	Faecal	Asymptomatic carriage		This study
3734	AV06		1/7/14	A	1638		Broiler chicken	Faecal	Asymptomatic carriage		This study
3735	AV07		1/6/14	A	1638		Broiler chicken	Faecal	Asymptomatic carriage		This study
3736	AV08		1/8/14	A	1638		Broiler chicken	Faecal	Asymptomatic carriage		This study
3737	AV09		1/6/14	A	1638		Broiler chicken	Faecal	Asymptomatic carriage		This study
3738	AV10		1/6/14	B2	131	ST131 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3739	AV097		1/0/00	B2	428		Broiler chicken	Liver - perihepatitis/peritonitis	Infection 		This study
3740	AV098		1/0/00	B2	1618		Broiler chicken	Yolk Sac Infection	Infection 		This study
3741	AV099		1/0/00	B2	1618		Broiler chicken	Meconium	Infection 		This study
3742	AV100		1/0/00	B2	1618		Broiler chicken	Meconium	Infection 		This study
3743	AV101		1/0/00	B2	428		Broiler chicken	Respiratory disease	Infection 		This study
3744	AV102		1/0/00	B2	1618		Broiler chicken	Yolk Sac Infection	Infection 		This study
3745	AV103		1/0/00	B2	428		Broiler chicken	Peritonitis	Infection 		This study
3746	AV104		1/0/00	B2	1618		Broiler chicken	Meconium	Infection 		This study
3747	AV105		1/0/00	B2			Broiler chicken	Peritonitis	Infection 		This study
3748	AV106		1/0/00	B2			Broiler chicken	Meconium	Infection 		This study
3749	AV11		1/6/14	B2	131	ST131 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3750	AV107		1/0/00	B2	1161		Broiler chicken	Meconium	Infection 		This study
3751	AV12		6/8/12	B2	95	ST95 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3752	AV13		5/17/13	F	648	ST648 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3753	AV14		6/22/12	B1	155	ST155 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3754	AV15		6/22/12	ST117	117	ST117 CC	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3755	AV16		6/29/12	ST117	117	ST117 CC	Broiler chicken	Faecal	Asymptomatic carriage		This study
3757	AV18		7/10/12	B2	428		Broiler chicken	Faecal	Asymptomatic carriage		This study
3758	AV19		7/10/12	B2	95	ST95 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3759	AV20		7/30/12	B2	95	ST95 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3760	AV21		7/30/12	B2	95	ST95 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3761	AV22		7/30/12	B1	162	ST469 Cplx	Broiler chicken	Yolk sac infection	Infection 		This study
3762	AV23		7/30/12	A	10	ST10 Cplx	Broiler chicken	Yolk sac infection	Infection 		This study
3763	AV24		8/28/02	A	48	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3764	AV25		8/29/12	A	48	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3765	AV26		6/22/12	B1	101	ST101 Cplx	Broiler chicken	Yolk sac infection	Infection 		This study
3766	AV27		8/30/12	B1	101	ST101 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3767	AV28		9/5/12	B1	616	ST155 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3769	AV30		9/10/12	A	10	ST10 Cplx	Broiler chicken	Yolk sac infection	Infection 		This study
3770	AV31		9/14/12	F			arrived as US import				This study
3771	AV32		9/17/12	F	648	ST648 Cplx	Broiler chicken	Yolk sac infection	Infection 		This study
3772	AV33		9/17/12	A			Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3773	AV34		9/17/12	A	5625		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3774	AV35		9/17/12	A	10	ST10 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3776	AV37		10/11/12	B2	131	ST131 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3777	AV38		10/18/12	B1	101	ST101 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3778	AV39		11/5/12	E			Broiler chicken	Faecal	Asymptomatic carriage		This study
3779	AV40		11/20/12	D	38	ST38 Cplx	Broiler chicken	Pericarditis	Infection 		This study
3780	AV41		11/23/12	B2	352		Broiler chicken	Peritonitis	Infection 		This study
3781	AV42		12/7/12	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3782	AV43		12/21/12	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3783	AV44		1/3/13	F	648	ST648 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3784	AV45		1/3/13	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3785	AV46		1/2/13	B1	162	ST469 Cplx	Broiler chicken	Pericarditis	Infection 		This study
3786	AV47		12/11/12	ST117	117	ST117 CC	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3788	AV49		1/16/13	B1	101	ST101 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3789	AV50		1/23/13	B2	429		Broiler chicken	Faecal	Asymptomatic carriage		This study
3790	AV51		1/24/13	ST117	117	ST117 CC	Broiler chicken	Faecal	Asymptomatic carriage		This study
3791	AV52		1/7/13	A	3642		Broiler chicken	Pericarditis	Infection 		This study
3792	AV53		1/29/13	ST117	117	ST117 CC	Broiler chicken	Faecal	Asymptomatic carriage		This study
3793	AV54		2/8/13	B2	95	ST95 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3794	AV55		2/8/13	B2	95	ST95 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3795	AV56		2/18/13	B2	803		Broiler chicken	Faecal	Asymptomatic carriage		This study
3796	AV57		2/20/13	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3797	AV58		3/4/13	D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3798	AV59		3/7/13	B1	155	ST155 Cplx	Broiler chicken	Pericarditis	Infection 		This study
3799	AV60		3/12/13	E	371	ST350 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3800	AV61		3/7/13	B1	162	ST469 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3801	AV62		3/14/13	A	48	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
3802	AV63		3/14/13	B1	602	ST446 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3803	AV64		3/27/13	E	57	ST350 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3804	AV65		3/15/13	A	10	ST10 Cplx	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
3805	AV66		4/5/13	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3806	AV67		4/18/13	B2	429		Broiler chicken	Faecal	Asymptomatic carriage		This study
3809	AV70		6/12/13	B1	942		Broiler chicken	Faecal	Asymptomatic carriage		This study
3810	AV71		6/12/13	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3811	AV72		6/12/13	B2	429		Broiler chicken	Faecal	Asymptomatic carriage		This study
3812	AV73		6/24/13	D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3813	AV74		7/3/13	A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3814	AV75		7/10/13	A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3815	AV76		7/18/13	A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3817	AV78		8/13/13	A	48	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3818	AV79		8/13/13	B1	101	ST101 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3819	AV80		8/22/13	B1	101	ST101 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3820	AV81		8/22/13	ST117	117	ST117 CC	Broiler chicken	Faecal	Asymptomatic carriage		This study
3821	AV82		8/22/13	B2	95	ST95 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3824	AV85		8/29/13	B2	429		Broiler chicken	Faecal	Asymptomatic carriage		This study
3826	AV87		9/19/13	B1	616	ST155 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3827	AV88		9/25/13	B1	162	ST469 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3828	AV89		9/25/13	D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3829	AV90		9/25/13	B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
3831	AV92		10/15/13	A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
3832	AV93			B2	428			Peritonitis	Asymptomatic carriage		This study
3833	AV94		12/2/13	D	69	ST69 Cplx	Broiler chicken	Peritonitis	Infection 		This study
3834	AV95		12/2/13	A	542		Broiler chicken	Pericarditis	Infection 		This study
3835	AV96		12/13/13	B1	602	ST446 Cplx	Broiler chicken	Pericarditis	Infection 		This study
4056	AV_b2_17			B2	135		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4057	AV_b2_29			ST117	117	ST117 CC	Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4058	AV_b2_48			A	5625		Broiler chicken	Faecal	Infection 		This study
4059	AV_b2_68			D	38	ST38 Cplx	Broiler chicken	Faecal	Infection 		This study
4060	AV_b2_69			B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
4061	AV_b2_83			B2	355			Faecal	Asymptomatic carriage		This study
4063	AV_b2_97			B2	95	ST95 Cplx	Broiler chicken	Pericarditis	Infection 		This study
4064	AV_b2_98			B2	429		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4065	AV_b2_99			B2	429		Broiler chicken	Liver - Periheaptitis 	Infection 		This study
4475	9363-EC-USA-CBL	USA	2017-01-11	B1	155	ST155 Cplx	Broiler chicken	post mortem	Infection 		This study
4477	9365-EC-USA-CBL	USA	2017-01-11	B1	155	ST155 Cplx	Broiler chicken	post mortem	Infection 		This study
